metric,run,depth,seed,run_median_abs_relative
update/actual,d16-s7,16,7,0.018618656583476518
update/direction_norm,d12-s10,12,10,0
update/direction_norm,d12-s11,12,11,0
update/direction_norm,d12-s7,12,7,0
update/direction_norm,d12-s8,12,8,0
update/direction_norm,d12-s9,12,9,0
update/direction_norm,d14-s7,14,7,0
update/direction_norm,d16-s7,16,7,0
update/loss_after,d12-s10,12,10,0.00028591982694721777
update/loss_after,d12-s11,12,11,0.00027382536326317367
update/loss_after,d12-s7,12,7,0.00028802896055460972
update/loss_after,d12-s8,12,8,0.0002170703249600004
update/loss_after,d12-s9,12,9,0.00024907897609512412
update/loss_after,d14-s7,14,7,0.00029019192417141352
update/loss_after,d16-s7,16,7,0.00031163909523395565
update/loss_before,d12-s10,12,10,0.00019734403888918523
update/loss_before,d12-s11,12,11,0.00021605826096369584
update/loss_before,d12-s7,12,7,0.00033624160878526106
update/loss_before,d12-s8,12,8,0.00026014629219893557
update/loss_before,d12-s9,12,9,0.00028379639555601015
update/loss_before,d14-s7,14,7,0.00023129695428193448
update/loss_before,d16-s7,16,7,0.0002020613783639311
update/normalized_residual,d12-s10,12,10,0.90935623975763846
update/normalized_residual,d12-s11,12,11,0.39297277375683903
update/normalized_residual,d12-s7,12,7,1.160333897366036
update/normalized_residual,d12-s8,12,8,1.0776250521348039
update/normalized_residual,d12-s9,12,9,0.691817105318284
update/normalized_residual,d14-s7,14,7,0.73545161848212892
update/normalized_residual,d16-s7,16,7,0.77902673018959767
update/p1,d12-s10,12,10,0.0028804185899024178
update/p1,d12-s11,12,11,0.001729498304389631
update/p1,d12-s7,12,7,0.0038140483763394978
update/p1,d12-s8,12,8,0.0034561112410903096
update/p1,d12-s9,12,9,0.0040906416964281867
update/p1,d14-s7,14,7,0.0051438754474326335
update/p1,d16-s7,16,7,0.0043620763050958057
update/p2,d12-s10,12,10,0.0049390513552422469
update/p2,d12-s11,12,11,0.004178727976341879
update/p2,d12-s7,12,7,0.004488961656869587
update/p2,d12-s8,12,8,0.0033160250462294181
update/p2,d12-s9,12,9,0.0054211612276682947
update/p2,d14-s7,14,7,0.0079639003330641799
update/p2,d16-s7,16,7,0.0045669575637273998
update/residual_p1,d12-s10,12,10,0.024088100440259989
update/residual_p1,d12-s11,12,11,0.020655907111504855
update/residual_p1,d12-s7,12,7,0.02465525902198925
update/residual_p1,d12-s8,12,8,0.026378752224220786
update/residual_p1,d12-s9,12,9,0.031692216544721236
update/residual_p1,d14-s7,14,7,0.037324996103698174
update/residual_p1,d16-s7,16,7,0.023123553122266008
update/residual_p2,d12-s10,12,10,0.93686435206096341
update/residual_p2,d12-s11,12,11,0.42444045084931836
update/residual_p2,d12-s7,12,7,1.172494388299451
update/residual_p2,d12-s8,12,8,1.1383355228008842
update/residual_p2,d12-s9,12,9,0.69196155677732418
update/residual_p2,d14-s7,14,7,0.86774314974629974
update/residual_p2,d16-s7,16,7,0.77844175471516119
