metric,run,depth,seed,n,spearman_abs_relative_vs_progress,early_median_abs_relative,late_median_abs_relative
curvature/fd_conclusive_gradient,d16-s7,16,7,33,,1,1
curvature/fd_conclusive_random,d12-s10,12,10,8,,1,1
curvature/fd_conclusive_random,d12-s11,12,11,5,,1,1
curvature/fd_conclusive_random,d12-s7,12,7,15,,1,1
curvature/fd_conclusive_random,d12-s8,12,8,4,,1,
curvature/fd_conclusive_random,d12-s9,12,9,6,,1,1
curvature/fd_conclusive_random,d14-s7,14,7,1,,1,
curvature/fd_conclusive_random,d16-s7,16,7,1,,1,
curvature/fd_conclusive_update,d12-s11,12,11,1,,1,
curvature/fd_conclusive_update,d12-s9,12,9,1,,1,
curvature/fd_eps_gradient,d12-s10,12,10,30,0.86973685866525774,9,99
curvature/fd_eps_gradient,d12-s11,12,11,30,0.79959453089920418,9,28.999999999999996
curvature/fd_eps_gradient,d12-s7,12,7,30,0.71099943115141773,9,64
curvature/fd_eps_gradient,d12-s8,12,8,30,0.86137906540137188,9,99
curvature/fd_eps_gradient,d12-s9,12,9,30,0.76222579338271867,5.5,99
curvature/fd_eps_gradient,d14-s7,14,7,32,0.81355968554259761,9,28.999999999999996
curvature/fd_eps_gradient,d16-s7,16,7,33,0.71136738447056969,9,28.999999999999996
curvature/fd_eps_random,d12-s10,12,10,30,0.53411172902307369,0,0.78333333333333333
curvature/fd_eps_random,d12-s11,12,11,30,0.48153264321807387,0,0.78333333333333333
curvature/fd_eps_random,d12-s7,12,7,30,0.37006873321757117,0,0.33333333333333331
curvature/fd_eps_random,d12-s8,12,8,30,0.42284845995713222,0,0
curvature/fd_eps_random,d12-s9,12,9,30,0.47425835853804232,0,0.66666666666666663
curvature/fd_eps_random,d14-s7,14,7,32,0.4200629475271731,0,0.66666666666666663
curvature/fd_eps_random,d16-s7,16,7,33,0.64106757032448602,0,0.93333333333333335
curvature/fd_eps_update,d12-s10,12,10,30,0.320983937930783,0,0.78333333333333333
curvature/fd_eps_update,d12-s11,12,11,30,0.19865756919151867,0,0
curvature/fd_eps_update,d12-s7,12,7,30,0.40688973939518847,0,0.78333333333333333
curvature/fd_eps_update,d12-s8,12,8,30,0.42650270244962241,0,0.33333333333333331
curvature/fd_eps_update,d12-s9,12,9,30,0.53143175324525493,0,0.78333333333333333
curvature/fd_eps_update,d14-s7,14,7,32,0.35652717972288522,0,0.66666666666666663
curvature/fd_eps_update,d16-s7,16,7,33,0.51032355751864189,0.33333333333333331,0.78333333333333333
curvature/fd_floor_gradient,d12-s10,12,10,30,-0.71434927697441597,6562.3625761402945,659.54106291550033
curvature/fd_floor_gradient,d12-s11,12,11,30,-0.57241379310344831,6555.8747591502151,2207.1080504610441
curvature/fd_floor_gradient,d12-s7,12,7,30,-0.51813125695216911,6562.9551899797007,1434.1399050801094
curvature/fd_floor_gradient,d12-s8,12,8,30,-0.75839822024471626,6557.8432387740004,658.40484351405075
curvature/fd_floor_gradient,d12-s9,12,9,30,-0.59510567296996664,14223.185077063201,661.15889413310333
curvature/fd_floor_gradient,d14-s7,14,7,32,-0.35960410557184747,6557.3373116560861,2239.8286108812463
curvature/fd_floor_gradient,d16-s7,16,7,33,-0.26671122994652408,6557.1718543041443,2216.4267560927469
curvature/fd_floor_random,d12-s10,12,10,30,0.54215795328142369,65533.03987026721,425780.07932553004
curvature/fd_floor_random,d12-s11,12,11,30,0.37397107897664073,65530.16593740278,427177.40786309249
curvature/fd_floor_random,d12-s7,12,7,30,0.35661846496106786,65564.463925450313,130961.63375488267
curvature/fd_floor_random,d12-s8,12,8,30,0.49187986651835364,65542.010187907377,65641.295162153197
curvature/fd_floor_random,d12-s9,12,9,30,0.54660734149054502,65549.506632612756,196490.2626831439
curvature/fd_floor_random,d14-s7,14,7,32,0.42558651026392957,65530.632304031358,196653.32620861009
curvature/fd_floor_random,d16-s7,16,7,33,0.62566844919786102,65541.200871291832,1312895.2709741197
curvature/fd_floor_update,d12-s10,12,10,30,0.3032258064516129,65558.462814688653,426051.94902053196
curvature/fd_floor_update,d12-s11,12,11,30,0.17908787541713014,65525.311249711383,65572.443399140015
curvature/fd_floor_update,d12-s7,12,7,30,0.28231368186874306,65581.594066165242,425621.28754728229
curvature/fd_floor_update,d12-s8,12,8,30,0.48654060066740823,65543.26686852597,131204.26508957206
curvature/fd_floor_update,d12-s9,12,9,30,0.49232480533926581,65541.706866182314,425959.02959861635
curvature/fd_floor_update,d14-s7,14,7,32,0.37793255131964809,65610.041173891659,196016.38627757342
curvature/fd_floor_update,d16-s7,16,7,33,0.53509358288770059,131061.92460475594,426562.42369266745
curvature/fd_snr_gradient,d12-s10,12,10,30,-0.80022246941045605,0.99984753210400601,0.99848467497118309
curvature/fd_snr_gradient,d12-s11,12,11,30,-0.70411568409343717,0.99984670123587738,0.99954175054477723
curvature/fd_snr_gradient,d12-s7,12,7,30,-0.54749721913236926,0.99984594868757104,0.99901471592439428
curvature/fd_snr_gradient,d12-s8,12,8,30,-0.7330367074527252,0.99984949706112625,0.99848178763828588
curvature/fd_snr_gradient,d12-s9,12,9,30,-0.61824249165739709,0.99990043698655806,0.99849314672738654
curvature/fd_snr_gradient,d14-s7,14,7,32,-0.40102639296187681,0.99984786983549234,0.99955533464087631
curvature/fd_snr_gradient,d16-s7,16,7,33,-0.428475935828877,0.99984579896200709,0.99954838179432204
curvature/fd_snr_random,d12-s10,12,10,30,-0.61913236929922133,0.99928722602373488,0.99881628977853598
curvature/fd_snr_random,d12-s11,12,11,30,-0.58576195773081197,0.99920938408311089,0.99878087212845601
curvature/fd_snr_random,d12-s7,12,7,30,-0.61557285873192435,0.99924977417348526,0.99884751304011865
curvature/fd_snr_random,d12-s8,12,8,30,-0.64582869855394875,0.99922346700115994,0.99873459154350019
curvature/fd_snr_random,d12-s9,12,9,30,-0.66229143492769738,0.99920502535119737,0.99874219642530471
curvature/fd_snr_random,d14-s7,14,7,32,-0.39222873900293254,0.9990439561583393,0.9989287457406506
curvature/fd_snr_random,d16-s7,16,7,33,-0.36296791443850274,0.99895294338789042,0.99878976822105681
curvature/fd_snr_update,d12-s10,12,10,30,-0.91546162402669629,0.9981458413006129,0.99003826029293673
curvature/fd_snr_update,d12-s11,12,11,30,-0.89632925472747482,0.99843949469575843,0.99050616637931121
