rank,tier,metric,acceptance_arm,family,direction,probe_sampled,certification,raw_rows_five_runs,selected_defined_rows_five_runs,union_row_keys,aligned_row_keys,row_key_coverage,aligned_elements,early_elements,late_elements,vector_length_mismatch_keys,typical_absolute_spread,worst_absolute_spread,typical_relative_spread,worst_relative_spread,early_typical_relative_spread,late_typical_relative_spread,zero_median_fraction,infinite_relative_fraction,utility_band,flags
185,sparse,overhead/update_effectiveness,none,sparse:overhead/update_effectiveness,none,False,not_applicable,150,150,30,30,1.0,30,12,18,0,1.5145813710987568,2.9468332678079605,0.29677215421452247,0.5667605748181311,0.26343871888085135,0.32281619595198174,0.0,0.0,intermediate,-
186,sparse,curvature/curv_eps_gradient,shadow_fp32,sparse:curvature/curv_eps_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,0.0023131887298440115,0.014192264024632997,0.30213069903490386,0.8193907455032102,0.14720269043987708,0.3091023559936982,0.0,0.0,intermediate,"probe,pass-only"
187,sparse,curvature/fd_snr_gradient,native,sparse:curvature/fd_snr_gradient [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,4.515712405268406,21.21380713132309,0.3109918828188335,2.670574170614101,0.1299187066847184,0.3667524911074712,0.0,0.0,intermediate,"probe,uncertified"
188,sparse,overhead/grads_ready/calibration,none,sparse:overhead/grads_ready/calibration,none,False,not_applicable,150,150,30,30,1.0,30,13,17,0,1.430014189798385,2.5978536875918508,0.31495092582453044,0.5590960000585541,0.34005483727001107,0.2817716843895896,0.0,0.0,intermediate,-
189,sparse,calib/grad_norm,none,sparse:calib/grad_norm,none,False,not_applicable,150,150,30,30,1.0,30,13,17,0,0.06268788068032756,1.1550117459803115,0.3204450051951868,0.8440260468541159,0.30111035953622456,0.36913408883100723,0.0,0.0,intermediate,-
190,sparse,curvature/fd_sweep_snr_gradient,shadow_fp32,sparse:curvature/fd_sweep_snr_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,150,42,108,0,15850.69921875,1106869.375,0.3204969303599763,2.3915587345225022,0.12934063908986318,0.3472682652231296,0.0,0.0,intermediate,"probe,pass-only"
191,sparse,curvature/dhd,native,sparse:curvature/dhd [native],update,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,0.022880337916350392,0.7108774864137128,0.32387792061272164,1.1408606637348033,0.3755295735408949,0.3097282165549024,0.0,0.0,intermediate,"probe,uncertified"
192,periodic,noise/row_trace,none,periodic:noise/row_trace,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.5420178756295564,0.8067998649338668,0.3267078546169149,0.48090191475888583,0.21114314886184965,0.36096110783950064,0.0,0.0,intermediate,-
193,periodic,noise/s2,none,periodic:noise/s2,none,False,not_applicable,125,125,25,25,1.0,25,4,21,0,0.1355044689073891,0.2016999662334667,0.3267078546169149,0.48090191475888583,0.21114314886184965,0.36096110783950064,0.0,0.0,intermediate,-
194,sparse,overhead/probe_grad_sketch,none,sparse:overhead/probe_grad_sketch,none,False,not_applicable,150,150,30,30,1.0,30,13,17,0,0.029295444022864103,0.0752991009503603,0.3425698332794941,0.5002013842875825,0.3281666720623449,0.3432316313324193,0.0,0.0,intermediate,-
195,sparse,update/residual_p1,native,sparse:update/residual_p1 [native],none,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,0.00948484689233903,0.5368868241927407,0.3496829585232973,3.939849489405725,0.27129343504007924,0.389546322493323,0.0,0.0,intermediate,"probe,uncertified"
196,sparse,overhead/lineage_checkpoint,none,sparse:overhead/lineage_checkpoint,none,False,not_applicable,15,15,3,3,1.0,3,0,3,0,1.3554727211594582,9.638392350636423,0.3622391922569482,2.609966705696929,,0.3622391922569482,0.0,0.0,intermediate,-
197,periodic,probe/per_token_loss,none,periodic:probe/per_token_loss,none,True,not_applicable,250,250,50,50,1.0,1638400,262144,1376256,0,0.770139068365097,11.926050662994385,0.3657895145545216,2021.819813073077,0.22889665473286713,0.39357211993194596,0.0,0.0,intermediate,probe
198,periodic,noise/per_sub_sq_norm,none,periodic:noise/per_sub_sq_norm,none,False,not_applicable,125,125,25,25,1.0,200,32,168,0,0.14909231662750244,0.39627277851104736,0.37909810680277034,0.8887668048750932,0.2901637913357434,0.3906372504182226,0.0,0.0,intermediate,-
199,periodic,muon/factored_scale_dispersion,none,periodic:muon/factored_scale_dispersion,none,False,not_applicable,9750,9750,1950,1950,1.0,1950,312,1638,0,0.016008284836091118,21.02547499697935,0.38214255845512457,330.2868838428801,0.25130603092163506,0.39229709248047334,0.027692307692307693,0.0,intermediate,-
200,periodic,grad/norm,none,periodic:grad/norm,none,False,not_applicable,14125,14125,2825,2825,1.0,2825,452,2373,0,0.00309729218434205,0.1639847979116357,0.41019067269123893,17.85496736765772,0.526848330987405,0.38357953320311394,0.0215929203539823,0.0,intermediate,-
201,periodic,grad/rms,none,periodic:grad/rms,none,False,not_applicable,14125,14125,2825,2825,1.0,2825,452,2373,0,5.955103549339425e-06,0.11336994175670516,0.41019067269123893,17.85496736765772,0.526848330987405,0.38357953320311383,0.0215929203539823,0.0,intermediate,-
202,sparse,curvature/Hg_norm,native,sparse:curvature/Hg_norm [native],gradient,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,14.648049977574727,116.80358966426358,0.4481969656339563,2.3949187589076195,0.1954278436555451,0.6043855590712452,0.0,0.0,intermediate,"probe,uncertified"
203,sparse,curvature/sweep_snr_gradient,shadow_fp32,sparse:curvature/sweep_snr_gradient [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,175,49,126,0,136.6854248046875,108850.87109375,0.45292848708122774,2.717044235022496,0.27939408455677506,0.5355730429327079,0.0,0.0,intermediate,"probe,pass-only"
204,sparse,overhead/theta_snapshot,none,sparse:overhead/theta_snapshot,none,False,not_applicable,150,150,30,30,1.0,30,13,17,0,0.00047257356345653534,0.0008520325645804405,0.45511046047242626,0.7913985024325091,0.41871524654509773,0.4747967691167098,0.0,0.0,intermediate,-
205,periodic,probe/transition_loss_sum,none,periodic:probe/transition_loss_sum,none,True,not_applicable,250,250,50,50,1.0,800,128,672,0,1.4106619358062744,6.474265098571777,0.460136000789643,7.7757836918237,0.2805770888003298,0.5046059015621593,0.0,0.0,intermediate,probe
206,sparse,curvature/vhv_random,native,sparse:curvature/vhv_random [native],random,True,uncertified_native_raw,150,150,30,30,1.0,30,12,18,0,2.2280787573285656e-06,8.343441346201052e-06,0.4848441800275948,4.4455412101325225,0.3398593467231773,0.5392910016827339,0.0,0.0,intermediate,"probe,uncertified"
207,sparse,curvature/Hg_norm,shadow_fp32,sparse:curvature/Hg_norm [shadow_fp32],gradient,True,passing_direction_only,150,129,26,25,0.9615384615384616,25,7,18,0,24.91304912451328,53.62983984447031,0.49054818703301456,2.405056444279272,0.24151814778679656,0.6035755865912811,0.0,0.0,intermediate,"probe,pass-only"
208,periodic,probe/logit_saturation_fraction,none,periodic:probe/logit_saturation_fraction,none,True,not_applicable,250,250,50,50,1.0,50,8,42,0,4.0504615753889084e-05,0.0005585448816418648,0.5186806164696374,2.2,0.3414279136967498,0.5243089224840174,0.04,0.0,noisy,probe
