metric,p,n,median,lo,hi,sd,sd_rel,range_rel
curvature/e_curv_gradient,0.006746,5,0.000889781767468,0.0007452253819911,0.0010479777714002,0.00012307104065622184,0.13831598393664316,0.34025465622949874
curvature/e_curv_gradient,0.013095,5,0.0006386212089542,0.0001859025421408,0.0013562103059571,0.00048548609879008633,0.7602097957020778,1.8325538635536154
curvature/e_curv_gradient,0.01627,5,0.0009207446172639,0.0006546810990591,0.00286561096719,0.0009177912817650461,0.9967924488034152,2.401241154904534
curvature/e_curv_gradient,0.025794,5,0.0004503943031451,5.506664879561069e-05,0.001071304206793,0.0004694541621958234,1.042318161925292,2.2563286233884625
curvature/e_curv_gradient,0.050397,5,0.0007530033971217,0.000165374000355,0.0023302040503843,0.0010553924305200498,1.4015772499223902,2.8749273353934433
curvature/e_curv_gradient,0.100397,5,0.0006213831820089,0.0001173399329737,0.001942415994652,0.0006862649128961126,1.1044150095557033,2.937118535744599
curvature/e_curv_gradient,0.150397,5,0.0008420912077756,0.0002136218431016,0.0024665651758362,0.0008645763366462668,1.026701536203022,2.675414862347029
curvature/e_curv_gradient,0.159127,5,0.0021868461776674,8.983820607461334e-05,0.0031274666216359,0.0014441264478699696,0.660369468423402,1.3890453048697617
curvature/e_curv_gradient,0.200397,5,0.0010653437565342,0.0003013592632432,0.0032573944794424,0.0011154802215695098,1.0470613027276894,2.7747243066555716
curvature/e_curv_gradient,0.250397,5,0.0035976073411237,0.0005683961633089,0.0091834165374349,0.003164304499833583,0.8795580506140572,2.3946527670346396
curvature/e_curv_gradient,0.300397,5,0.0010350352800517,0.0001841012992462,0.0015477287014707,0.0005082687296972878,0.4910641593510704,1.3174694896935173
curvature/e_curv_gradient,0.350397,5,0.000919816169636,5.8534351042822895e-05,0.0019227875637339,0.0007545777365228929,0.8203571120319649,2.0267671674317493
curvature/e_curv_gradient,0.400397,5,0.0009533161342811,0.000378873151179,0.0020656992987472,0.000681518314417079,0.7148922481323732,1.7694299791120638
curvature/e_curv_gradient,0.450397,5,0.0014113407680914,0.0002215619073541,0.002434280217391,0.0008343468451870428,0.5911732049768221,1.5678129336752793
curvature/e_curv_gradient,0.500397,5,0.0007049061483576,0.0001757260267367,0.0019820861091975,0.0008206799679400655,1.164240047915901,2.5625540175377086
curvature/e_curv_gradient,0.55,5,0.001775385699228,9.639910144862928e-05,0.0034589685242564,0.0012009877462811317,0.676465821935686,1.893993752608199
curvature/e_curv_gradient,0.6,5,0.0014529853380356,0.0002543030451134,0.0040521893323362,0.0014930423389582777,1.0275687578353914,2.613850386375851
curvature/e_curv_gradient,0.65,5,0.0003555850034539,0.0002645586855339,0.0012721531543019,0.00042511582800843357,1.195539249066076,2.8336247563337698
curvature/e_curv_gradient,0.7,5,0.0008052188232958,0.000411086457546,0.0014337981635218,0.0003922632630372096,0.4871511341869243,1.2701040715737257
curvature/e_curv_gradient,0.75,5,0.0005026456330374,1.6615621398914708e-05,0.001803446044481,0.0007747660766735451,1.5413763211106972,3.5548511827001867
curvature/e_curv_gradient,0.8,5,0.0012344384409945,0.0001681310284118,0.0026278092939356,0.0010082518020438592,0.8167696083990885,1.9925483392612193
curvature/e_curv_gradient,0.85,5,0.0011788893177211,0.0002366517071174,0.0033939887626112,0.0013044665094519199,1.1065216130497915,2.6782302698248373
curvature/e_curv_gradient,0.9,5,0.0013552757081085,0.0005614657572971,0.0015245743729813,0.00046249396357535966,0.3412545217244708,0.7106366696621231
curvature/e_curv_gradient,0.95,5,0.0005744858669236,2.354222274843848e-05,0.0032045290670182,0.001269473053734028,2.2097550641795918,5.537102002707399
curvature/e_curv_gradient,1.0,5,0.0010474899743126,0.0005847344023371,0.002791959763893,0.0009799963789699146,0.9355663567214788,2.107156551072825
curvature/gg,0.006746,5,4.040009554432396,3.866329058754872,4.22489556760056,0.13433773821256897,0.03325183675993629,0.08875387644870693
curvature/gg,0.013095,5,3.2059089068531588,3.0587435144447803,3.3120933072303944,0.09692131482495592,0.03023208632589985,0.07902588630763561
curvature/gg,0.01627,5,3.2273500378849422,2.954336684206277,3.3362248442668503,0.1661078298217142,0.05146879882002935,0.11832870794233566
curvature/gg,0.025794,5,2.904110645056696,2.43821218072812,3.0129301494113987,0.2544538516647852,0.08761851140138553,0.19789809650040335
