run,step,p,curvature/arith_eps,curvature/eta_star,curvature/eta_star_rho,curvature/eta_star_rho_threshold,curvature/gHg,curvature/gg,curvature/verdict_code_gradient,eta_reason,certified,eta_defined,rho_over_tau
d12-s10,5,0.003162,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.003571,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.004522,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.006138,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.006746,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.007626,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.008779,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.010907,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.012091,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.013095,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.01627,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.017292,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.023996,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.025794,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.034318,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.047805,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.050223,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.050279,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.050397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.074591,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.10026,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.100293,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.100397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.106677,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.150112,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.150306,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.150397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.159127,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.200149,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.200319,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.200397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.250186,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.250333,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.250397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.30008,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.300223,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.300397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.350074,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.350093,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.35026,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.350359,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.350397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.400106,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.400112,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.400397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.45012,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.450149,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.450397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.500133,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.500186,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.500397,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.55,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.550037,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.550146,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.6,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.600074,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.60016,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.65,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.650112,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.650173,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.7,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.700149,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.700186,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.75,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.7502,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.799947,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.8,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.800037,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.84996,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.85,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.850074,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.899973,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.9,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.900112,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.949963,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.949987,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,0.95,,,,,,,,gHg_not_positive,False,False,
d12-s10,5,1.0,,,,,,,,gHg_not_positive,False,False,
d12-s10,9,0.000186,,,,,,,,,False,False,
d12-s10,9,0.000266,,,,,,,,,False,False,
d12-s10,9,0.000372,,,,,,,,,False,False,
d12-s10,9,0.000397,,,,,,,,,False,False,
d12-s10,9,0.000532,,,,,,,,,False,False,
d12-s10,9,0.000558,,,,,,,,,False,False,
d12-s10,9,0.000794,,,,,,,,,False,False,
d12-s10,9,0.000798,,,,,,,,,False,False,
d12-s10,9,0.00093,,,,,,,,,False,False,
d12-s10,9,0.00119,,,,,,,,,False,False,
d12-s10,9,0.00133,,,,,,,,,False,False,
d12-s10,9,0.001674,,,,,,,,,False,False,
d12-s10,9,0.001984,,,,,,,,,False,False,
d12-s10,9,0.002394,,,,,,,,,False,False,
d12-s10,9,0.003162,,,,,,,,,False,False,
d12-s10,9,0.003571,1.1920928955078125e-07,0.16362496130027648,0.3645390557933913,9.5367431640625e-07,103.5314640807189,16.940331803568597,0.0,,True,True,382246.9049676111
d12-s10,9,0.004522,,,,,,,,,False,False,
d12-s10,9,0.006138,,,,,,,,,False,False,
d12-s10,9,0.006746,,,,,,,,,False,False,
d12-s10,9,0.007626,,,,,,,,,False,False,
