segment,depth,seed,acceptance_arm,metric,n_checkpoints,median,minimum,maximum,q25,q75,n_above_threshold
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,native,curvature/e_lin_random,33,0.0099622895947445618,0.0071648533361144892,0.014524663858361875,0.008144645561748971,0.01275276690835864,33
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,native,curvature/e_lin_update,30,0.010380836483368702,0.0085337684863895716,0.027155953270139668,0.0096711148611554297,0.011442205569656114,30
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,native,curvature/e_lin_update,30,0.011423830640368816,0.0080388330220874417,0.026894965866950039,0.010390496936835563,0.012155705874548542,30
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,native,curvature/e_lin_update,30,0.010929270612879783,0.0093908684655643563,0.031377868037629673,0.010351220408822599,0.011532129072472924,30
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,native,curvature/e_lin_update,30,0.010750383061449334,0.0079160612578541671,0.025799400961729613,0.010167132615217643,0.011538780651660807,30
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,native,curvature/e_lin_update,30,0.01043160091101617,0.0085898315629164921,0.023804376995922024,0.009797298689882359,0.01160959097726137,30
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,native,curvature/e_lin_update,32,0.0092358577194460063,0.0065957471580208723,0.035273666697768172,0.0081572910493805835,0.012246153816118146,32
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,native,curvature/e_lin_update,33,0.010395463678853268,0.0076373026063738768,0.039584307945704583,0.0093173937486013374,0.012440513355690016,33
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,native,curvature/e_sym_gradient,30,0.0090067084329719417,0.00033024883502847139,0.1159192249778762,0.0053985370677116264,0.016317195998500306,30
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,native,curvature/e_sym_gradient,30,0.0061422737110046798,0.00031312727748712606,0.041085359767818026,0.0037327071981794616,0.020004913090890239,30
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,native,curvature/e_sym_gradient,30,0.0041654443938315688,1.3620717272861323e-05,0.046819051729930526,0.0023454767444109404,0.012979771437592403,28
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,native,curvature/e_sym_gradient,30,0.0046142560873578906,0.00036272314627061201,0.095722954181844455,0.0025674698261251901,0.011276002368537033,30
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,native,curvature/e_sym_gradient,30,0.0059806026240192831,0.0015173591055316256,0.057781080488792699,0.004124813325295509,0.017174155803717013,30
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,native,curvature/e_sym_gradient,32,0.0042904333195356026,0.00018370494473393261,1.6328639093732458,0.0012889344244461089,0.011604521245679018,32
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,native,curvature/e_sym_gradient,33,0.012180923608192715,0.0010904964339798482,0.78900832739105897,0.0075436868002132481,0.03925805791290192,33
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,native,curvature/e_sym_random,30,0.012855717789157867,0.0033682329260304065,0.070316449682271132,0.0051719709226360636,0.022953653334129569,30
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,native,curvature/e_sym_random,30,0.0075420999446042837,0.00071559001383893401,0.09200318063381438,0.0033685184395146161,0.016738723875686756,30
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,native,curvature/e_sym_random,30,0.011587503708343695,0.00013785117557778276,0.18605258232452318,0.0024517836637661002,0.020516898981429298,30
