run,kind,s0,s1,gap,progress,cos
d12-s10,batch_grad,303,1313,1010,0.12023809523809524,-0.07920779817703226
d12-s10,batch_grad,303,1414,1111,0.12023809523809524,-0.021672201252666758
d12-s10,batch_grad,303,1515,1212,0.12023809523809524,-0.034897783755122216
d12-s10,batch_grad,303,1616,1313,0.12023809523809524,-0.07129937092565054
d12-s10,batch_grad,303,1717,1414,0.12023809523809524,0.014263451311365681
d12-s10,batch_grad,303,1818,1515,0.12023809523809524,0.012563678062678142
d12-s10,batch_grad,303,1919,1616,0.12023809523809524,-0.041182671755037495
d12-s10,batch_grad,303,2020,1717,0.12023809523809524,0.030147540326174057
d12-s10,batch_grad,303,2121,1818,0.12023809523809524,0.0488854895286204
d12-s10,batch_grad,303,2222,1919,0.12023809523809524,-0.02002931739043826
d12-s10,batch_grad,303,2323,2020,0.12023809523809524,-0.025385113708634475
d12-s10,batch_grad,303,2424,2121,0.12023809523809524,0.0067881582402366854
d12-s10,batch_grad,404,505,101,0.16031746031746033,-0.16531046512719624
d12-s10,batch_grad,404,606,202,0.16031746031746033,-0.2187793924457674
d12-s10,batch_grad,404,707,303,0.16031746031746033,-0.2025939105583559
d12-s10,batch_grad,404,808,404,0.16031746031746033,0.27841266863368364
d12-s10,batch_grad,404,909,505,0.16031746031746033,0.18484434487477594
d12-s10,batch_grad,404,1010,606,0.16031746031746033,0.1276044655362348
d12-s10,batch_grad,404,1111,707,0.16031746031746033,0.4587793105871459
d12-s10,batch_grad,404,1212,808,0.16031746031746033,-0.019172477961498124
d12-s10,batch_grad,404,1313,909,0.16031746031746033,-0.4149900221783281
d12-s10,batch_grad,404,1414,1010,0.16031746031746033,0.2059773893548437
d12-s10,batch_grad,404,1515,1111,0.16031746031746033,-0.10120300807260456
d12-s10,batch_grad,404,1616,1212,0.16031746031746033,0.24790107977595122
d12-s10,batch_grad,404,1717,1313,0.16031746031746033,0.08283494168406667
d12-s10,batch_grad,404,1818,1414,0.16031746031746033,0.09386502030832765
d12-s10,batch_grad,404,1919,1515,0.16031746031746033,0.24168724487200433
d12-s10,batch_grad,404,2020,1616,0.16031746031746033,0.036866170272307944
d12-s10,batch_grad,404,2121,1717,0.16031746031746033,0.06936213809858606
d12-s10,batch_grad,404,2222,1818,0.16031746031746033,-0.03555481621438129
d12-s10,batch_grad,404,2323,1919,0.16031746031746033,-0.09792944293806156
d12-s10,batch_grad,404,2424,2020,0.16031746031746033,-0.01761016569544836
d12-s10,batch_grad,505,606,101,0.2003968253968254,-0.029899322068320636
d12-s10,batch_grad,505,707,202,0.2003968253968254,0.28252487212281285
d12-s10,batch_grad,505,808,303,0.2003968253968254,0.0012480190767732381
d12-s10,batch_grad,505,909,404,0.2003968253968254,-0.39585885946864935
d12-s10,batch_grad,505,1010,505,0.2003968253968254,-0.12234355009223737
d12-s10,batch_grad,505,1111,606,0.2003968253968254,-0.07471922772766897
d12-s10,batch_grad,505,1212,707,0.2003968253968254,0.20936045074480317
d12-s10,batch_grad,505,1313,808,0.2003968253968254,0.2530594875982239
d12-s10,batch_grad,505,1414,909,0.2003968253968254,-0.2952814245448416
d12-s10,batch_grad,505,1515,1010,0.2003968253968254,0.3011971418311483
d12-s10,batch_grad,505,1616,1111,0.2003968253968254,-0.3348519406846787
d12-s10,batch_grad,505,1717,1212,0.2003968253968254,-0.06184371649683884
d12-s10,batch_grad,505,1818,1313,0.2003968253968254,0.15494025105307152
d12-s10,batch_grad,505,1919,1414,0.2003968253968254,-0.13652356108835415
d12-s10,batch_grad,505,2020,1515,0.2003968253968254,-0.08969617764897861
d12-s10,batch_grad,505,2121,1616,0.2003968253968254,0.07779848200016114
d12-s10,batch_grad,505,2222,1717,0.2003968253968254,0.02347013789310978
d12-s10,batch_grad,505,2323,1818,0.2003968253968254,0.13076248816092798
d12-s10,batch_grad,505,2424,1919,0.2003968253968254,0.048685572280798485
d12-s10,batch_grad,606,707,101,0.24047619047619048,-0.17666251977536288
d12-s10,batch_grad,606,808,202,0.24047619047619048,-0.2938886107619026
d12-s10,batch_grad,606,909,303,0.24047619047619048,-0.2041343544747104
d12-s10,batch_grad,606,1010,404,0.24047619047619048,-0.39208088103044103
d12-s10,batch_grad,606,1111,505,0.24047619047619048,-0.10946407676421822
d12-s10,batch_grad,606,1212,606,0.24047619047619048,-0.10207693421412124
d12-s10,batch_grad,606,1313,707,0.24047619047619048,0.24794767106332247
d12-s10,batch_grad,606,1414,808,0.24047619047619048,0.17585177872794922
d12-s10,batch_grad,606,1515,909,0.24047619047619048,-0.1088521356908312
d12-s10,batch_grad,606,1616,1010,0.24047619047619048,0.07611901129493266
d12-s10,batch_grad,606,1717,1111,0.24047619047619048,-0.007362860921069278
d12-s10,batch_grad,606,1818,1212,0.24047619047619048,-0.15640723721039648
d12-s10,batch_grad,606,1919,1313,0.24047619047619048,-0.12375177951940827
d12-s10,batch_grad,606,2020,1414,0.24047619047619048,0.047706687382452366
d12-s10,batch_grad,606,2121,1515,0.24047619047619048,-0.14092007256793784
d12-s10,batch_grad,606,2222,1616,0.24047619047619048,-0.05491085342161979
d12-s10,batch_grad,606,2323,1717,0.24047619047619048,0.022056955689098854
d12-s10,batch_grad,606,2424,1818,0.24047619047619048,-0.09532187768910269
d12-s10,batch_grad,707,808,101,0.28055555555555556,0.11823483833648805
d12-s10,batch_grad,707,909,202,0.28055555555555556,-0.1892871392048254
d12-s10,batch_grad,707,1010,303,0.28055555555555556,0.15835484307517583
