seg,tier,metric,n,ndef,nsteps,veclen
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/mlp_out_stats_std,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/mlp_residual_ratio,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/n_segments,50,50,25,16
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/per_row_loss,50,50,25,16
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/per_token_loss,50,50,25,32768
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/relu2_sparsity,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/relu2_tail_quantiles,600,600,25,3
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/resid_contribution_ratio,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/resid_term_norm,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/residual_mix_equiv_err,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/segment_lengths,50,50,25,40
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/transition_loss_sum,50,50,25,16
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/ve_contribution_ratio,300,300,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/ve_gate_mean,300,300,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/ve_gate_quantiles,300,300,25,7
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/ve_gate_rms,300,300,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/ve_gate_std,300,300,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/x0_contribution_ratio,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,probe/x0_term_norm,600,600,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,sketch/grad,2825,2825,25,4096
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,sketch/grad_cosine_prev,25,24,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,sketch/grad_sq_norm,2825,2825,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,calib/grad_cosine_prev,30,29,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,calib/grad_norm,30,30,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/Hg_norm,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/arith_eps,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/c_fd_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/c_fd_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/c_fd_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_eps_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_eps_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_eps_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_floor_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_floor_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_floor_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_snr_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_snr_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/curv_snr_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/dhd,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_curv_gradient,60,26,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_curv_random,60,0,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_curv_update,60,0,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_fd_gradient,60,30,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_fd_random,60,8,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_fd_update,60,0,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_lin_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_lin_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_lin_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_sym_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_sym_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/e_sym_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/eta_star,60,52,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/eta_star_rho,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/eta_star_rho_threshold,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_conclusive_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_conclusive_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_conclusive_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_cos_gradient,60,30,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_cos_random,60,8,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_cos_update,60,0,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_eps_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_eps_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_eps_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_floor_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_floor_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_floor_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_snr_gradient,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_snr_random,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_snr_update,60,60,30,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_conclusive_gradient,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_conclusive_random,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_conclusive_update,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_cos_gradient,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_cos_random,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_cos_update,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_cos_valid_gradient,60,60,30,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,sparse,curvature/fd_sweep_cos_valid_random,60,60,30,6
