region,n_pts,n_pts_both,step_lo,step_hi,n_abs,medabsz_abs,n_inf_abs,medrel_abs,medabsrel_abs,seedsdrel_abs,medgap_abs,n_prog,medabsz_prog,n_inf_prog,medrel_prog,medabsrel_prog,seedsdrel_prog,medgap_prog,align_dz,align_dz_max,align_drel,sign_flip_frac,metric,arm,tier
warmup,12,10,1,270,12,1.0130799258194654,0,0.2996692884595251,0.4357008943748072,0.37586304030654694,8.0,10,4.285918876210579,0,1.0793368807036057,1.0793368807036057,0.29133612148758725,0.004761904761904762,2.972330931643339,30.120994930431817,0.7290177575315719,0.3,curvature/curv_snr_random,native,sparse
post,21,10,401,5376,10,0.8749725629759352,0,0.17302974275098248,0.4340931292486205,0.41037465725270117,126.0,21,1.0828279148801805,0,0.3811619981106017,0.581763949325889,0.4363567390825888,0.04999999999999999,0.47510115275265785,2.1635613974735826,0.20573519922964295,0.0,curvature/curv_snr_random,native,sparse
warmup,12,10,1,270,12,1.1182955346724317,0,-0.23442836220521993,0.4986304548816667,0.48753310850710463,8.0,10,1.5055072641278393,0,0.13108819416169545,0.6039697278710721,0.40683620037859936,0.004761904761904762,0.4085627957061988,5.877738090809044,0.19145507448327184,0.0,curvature/curv_snr_random,shadow_fp32,sparse
post,21,10,401,5376,10,0.9517265613038006,0,-0.0513709020474468,0.42893169953039423,0.33201533397933003,126.0,21,1.0665517438836214,0,0.24407159436143513,0.5115236787642365,0.42149414650413314,0.04999999999999999,0.8573728308711256,4.784202152755056,0.16441150886802713,0.2,curvature/curv_snr_random,shadow_fp32,sparse
warmup,12,10,1,270,12,1.0150490888245314,0,0.3493932225278302,0.46719139438480034,0.49268299847995667,8.0,10,2.3206857032765305,0,1.604040313984806,1.604040313984806,0.38912039604294846,0.004761904761904762,1.8156592059345296,75.50777831916784,1.0467806372814992,0.3,curvature/curv_snr_update,native,sparse
post,21,10,401,5376,10,0.697196157348041,0,-0.1102971783828626,0.2933494749813551,0.4246432890061585,126.0,21,0.6096578814875528,0,0.37051174942930876,0.47270169638437814,0.5395257164247846,0.04999999999999999,0.43383649104450206,1.3956650895547447,0.27286975331956875,0.5,curvature/curv_snr_update,native,sparse
warmup,12,10,1,270,12,0.7317964144030167,0,0.04289031547224046,0.4864702978467851,0.5487828171874196,8.0,10,1.2039732772600744,0,0.4547902425437753,0.5081024613618623,0.4347672048542566,0.004761904761904762,0.4519512186879775,3.184768349720529,0.20690190952935855,0.0,curvature/curv_snr_update,shadow_fp32,sparse
post,21,10,401,5376,10,0.959766081490845,0,-0.08623235912540461,0.33829501813289065,0.28869485899445424,126.0,21,0.7123736464252403,0,0.2126999017321749,0.3311391073279377,0.5322558222721249,0.04999999999999999,0.6056970799809278,3.838468648935361,0.2985029885865238,0.2,curvature/curv_snr_update,shadow_fp32,sparse
warmup,12,10,1,270,12,1.0179270148247295,0,0.07771003100817547,0.14179227517046764,0.14059387388030078,8.0,10,5.375382439655556,0,0.07650454288760289,0.9032490868154051,0.13918083630436096,0.004761904761904762,3.158007419634272,664.664169635079,0.6088809912623118,0.2,curvature/dhd,native,sparse
post,21,10,401,5376,10,5.520656991832077,0,0.2794587467916315,0.5749981799770382,0.10767369963084536,126.0,21,3.625698608200147,0,-0.4588273690038152,0.4588273690038152,0.12432737158899354,0.04999999999999999,7.2356409069023595,630.0486275278175,0.8359426757019021,0.5,curvature/dhd,native,sparse
warmup,12,10,1,270,12,0.7934869208901596,0,0.06794733604006052,0.1242888856352019,0.1369949018500392,8.0,10,5.397310784672795,0,0.07131154808361703,0.906584494049569,0.13862159138816452,0.004761904761904762,3.182365026068018,595.4072354685289,0.6096704163808322,0.2,curvature/dhd,shadow_fp32,sparse
post,21,10,401,5376,10,5.512140172424399,0,0.28401816004270036,0.5774441886268395,0.10933294861234158,126.0,21,3.647837909098386,0,-0.45918784002075846,0.45918784002075846,0.12449104242253674,0.04999999999999999,7.2786011729345095,628.6449312823885,0.8400043883090351,0.5,curvature/dhd,shadow_fp32,sparse
warmup,7,5,17,270,7,0.9482884367335084,0,-0.5737606310933588,0.8905596244394781,0.9967924488033273,24.0,5,0.8281693650841973,0,-0.5081127348723842,0.6641750394059479,0.5897233587616886,0.009523809523809521,0.38441194553344243,13.412708024645568,0.033047520027594146,0.0,curvature/e_curv_gradient,shadow_fp32,sparse
post,21,10,401,5376,10,0.7971644506618311,0,0.16210541886659008,0.3818626328922312,0.8006410056132566,126.0,21,1.156157347151979,0,0.9426711134167336,0.9765254256011922,0.9355663567214201,0.04999999999999999,0.6502128308637702,2.8050616181413712,0.5009609849748596,0.1,curvature/e_curv_gradient,shadow_fp32,sparse
warmup,12,10,1,270,12,1.4927736967825633,0,0.15808395247779516,0.19484042957723477,0.08810308718952448,8.0,10,3.489322515981798,0,0.42615266317569056,0.5215124565990754,0.08567419560213921,0.004761904761904762,3.14391451529723,114.76951271324735,0.40606052839583606,0.3,curvature/e_fd_gradient,shadow_fp32,sparse
post,21,10,401,5376,10,1.2181444708554128,0,-0.15364092670768997,0.3960018307354619,0.30224713598258784,126.0,21,1.7985482807676458,0,-0.5571211171545716,0.5890214496435955,0.3160837795035527,0.04999999999999999,2.2578513883839753,9.45546253194352,0.44790428842889285,0.4,curvature/e_fd_gradient,shadow_fp32,sparse
warmup,1,0,9,9,1,16.02737714668193,0,0.567405655368967,0.567405655368967,0.035402277626344764,4.0,0,,0,,,,,,,,,curvature/e_fd_random,shadow_fp32,sparse
warmup,12,10,1,270,12,0.7925759019486727,0,0.12342416233469972,0.12342416233469972,0.17426405486445373,8.0,10,1.5602241620789354,0,-0.02451500310248197,0.20931483643890003,0.21351653028699982,0.004761904761904762,2.315596714345198,40.2959013760412,0.2359895551887442,0.6,curvature/e_lin_gradient,native,sparse
post,21,10,401,5376,10,0.8602702784823038,0,-0.011852025635689923,0.06817705683331268,0.053938893705327604,126.0,21,1.714985469495499,0,-0.1270124158473545,0.16148159352182165,0.08419134366151382,0.04999999999999999,1.5826344585019232,6.329855026315345,0.13227024733073312,0.3,curvature/e_lin_gradient,native,sparse
warmup,12,10,1,270,12,2.520580764447116,0,0.136901839521804,0.16192704959671872,0.031949269641126106,8.0,10,6.115816168403621,0,0.03823577421335861,0.30084800406229417,0.0364803483021557,0.004761904761904762,4.916088493713633,86.39178429770138,0.17335964286098593,0.4,curvature/e_lin_gradient,shadow_fp32,sparse
