tier,metric,acceptance_arm,channels,rel_median,rel_worst_channel,rel_worst_point,complete_frac,noise_vs_swing,rel_early,rel_late
periodic,probe/block_in_stats_std,-1,24,0.04320558435989727,0.06107849536743273,0.36637668795332173,1.0,0.07144205214825117,0.21569097996324726,0.042788348559041955
periodic,probe/ve_gate_rms,-1,12,0.04497293017061648,0.1314802280303887,0.18172969185437052,1.0,0.13788478917820973,0.027263966480511142,0.04608364570116713
continuous,scalars/backout_lambda,-1,1,0.04961500382528761,0.04961500382528761,36.95443768798636,1.0,0.05075198212774811,0.06794003900915807,0.0484201476750709
periodic,probe/ve_gate_mean,-1,12,0.0504771892859463,0.13107608672931992,0.16911696536016435,1.0,0.09860708292546688,0.02810301052878573,0.05146900441148569
periodic,probe/attn_residual_ratio,-1,24,0.0506980214999706,0.12132338549752372,0.24657600709379568,1.0,0.12221172396246605,0.059516530466904784,0.04956988591532552
periodic,probe/mlp_out_norm,-1,24,0.053465745085023955,0.14812803997654117,0.39336307371273177,1.0,0.06599714208787734,0.18036872683473787,0.05137716588336108
periodic,probe/mlp_out_stats_rms,-1,24,0.053465748925354564,0.1481280063739395,0.39336306433322293,1.0,0.06599712223374585,0.18036872427367545,0.05137712806862466
sparse,curvature/fd_snr_random,shadow_fp32,1,0.05346600020447166,0.05346600020447166,0.12410081713823329,1.0,0.07701118888927996,0.06645183220621113,0.0499671267408407
periodic,probe/mlp_out_stats_std,-1,24,0.05347517562016038,0.14807132730090586,0.39326099688887817,1.0,0.06599078896456105,0.18036158826240808,0.05137402442816673
periodic,probe/mlp_residual_ratio,-1,24,0.053861056226312556,0.1860622888752785,0.2202558724790135,1.0,0.06779996247184103,0.056967823706000044,0.05347277584279089
periodic,grad/zero_fraction,-1,15,0.05415240773449726,0.25269875497982275,0.5082874547097218,1.0,0.10849960830257185,0.04370844571736937,0.05322091558326704
sparse,curvature/fd_snr_random,native,1,0.05807765006911442,0.05807765006911442,1.0037013300927606,1.0,0.03932587577133157,0.0700633859437313,0.03926756917817827
continuous,scalars/smear_lambda,-1,1,0.05900567078939742,0.05900567078939742,1.0954457271386815,1.0,0.09542635134958152,0.033524517833629364,0.06232736307695338
sparse,curvature/e_lin_gradient,shadow_fp32,1,0.0600179321217614,0.0600179321217614,1.3935704372177875,1.0,0.002183406619145396,0.031949269641126106,0.06554426883914166
periodic,attn/validation_max_abs_err,-1,3,0.060064612201587694,0.14221664764512748,0.3456520043827454,1.0,0.26987023422091055,0.07513166309999107,0.055310450118722466
sparse,curvature/e_lin_update,native,1,0.06097169969222224,0.06097169969222224,0.2820194456384753,1.0,0.05844727414069822,0.054657953883657566,0.06544314152181413
sparse,curvature/fd_snr_update,native,1,0.0612062338046129,0.0612062338046129,6.606550552307941,1.0,0.0442258690987712,0.1004823823926839,0.046713513610000236
periodic,optim/muon_momentum_rms,-1,78,0.06481182764764054,0.5133838402230434,1.0821343805537105,1.0,0.07553189731100035,0.14408174770543644,0.06266908213095213
periodic,optim/muon_momentum_norm,-1,78,0.06481182798594728,0.5133838184899091,1.0821344569146025,1.0,0.07553188659410301,0.14408177305038977,0.06266908002949693
periodic,muon/cos_nesterov_final,-1,78,0.06875013363543178,0.3516193483380249,0.4392736682003282,1.0,0.17423562405532234,0.0938850623336915,0.06692720590572866
periodic,overhead/noise,-1,1,0.06931363185834313,0.06931363185834313,0.13248792643764498,1.0,5.744400242230388,0.06387582375299053,0.06931363185834313
sparse,curvature/eta_star_rho,shadow_fp32,1,0.06931445322129168,0.06931445322129168,1.318501723507771,1.0,0.047211143172215246,0.0956620578952489,0.05926531959992986
sparse,curvature/eta_star_rho,native,1,0.07027521469642628,0.07027521469642628,1.451697410375283,1.0,0.04827445387666035,0.09601814777904588,0.060239610351807533
periodic,probe/ve_contribution_ratio,-1,12,0.0717375655847925,0.13136853859046882,0.19064224659192266,1.0,0.08276474569422489,0.04280335703312654,0.07287020077038064
periodic,muon/cos_raw_final,-1,78,0.07287069859835843,0.4370103706375681,0.5398104168335164,1.0,0.08048066340055599,0.07941470439266626,0.0720785265532143
sparse,curvature/gg,native,1,0.07550055085784271,0.07550055085784271,0.23062402989633693,1.0,0.06534397255037239,0.04244693688728049,0.10123206370899825
sparse,curvature/gg,shadow_fp32,1,0.07558347907771272,0.07558347907771272,0.22920481714654733,1.0,0.06723332800845634,0.04236031778998284,0.10018075702003322
periodic,probe/ve_gate_std,-1,12,0.0777721562226934,0.14809599300311613,0.2928353562311182,1.0,0.34948441579185796,0.0753956450897925,0.07541610436468643
periodic,probe/backout_term_norm,-1,2,0.07929943136603974,0.07937927958904092,0.45755176208606807,1.0,0.07540399963223465,0.2690694936560041,0.07908550406702888
