tier,metric,acceptance_arm,param_role,parameter_name,layer,head,optimizer_group_id,probe_name,aggregation,n_points,complete_frac,rel_median,rel_worst,sd_median,level_median,swing,noise_vs_swing,rel_early,rel_late
periodic,grad/norm,-1,attn_k,-1,3.0,-1.0,-1,-,L0:all,25.0,1.0,0.1461017311788119,0.33500331793467925,0.0009687115342055185,0.006654969799352771,0.007153375912811172,0.13542019125132612,0.2891944453560767,0.14382037586040766
periodic,grad/norm,-1,attn_k,-1,4.0,-1.0,-1,-,L0:all,25.0,1.0,0.16900119691468035,0.5397666718699814,0.0008016493166602566,0.004722481974290193,0.00319544374609598,0.250872611242075,0.26665827624827754,0.13651178502639266
periodic,grad/norm,-1,attn_k,-1,5.0,-1.0,-1,-,L0:all,25.0,1.0,0.14390747123041958,0.25339833521016797,0.0007825083975175815,0.0050701571014905135,0.007190537201291897,0.10882474780562865,0.24936647729551467,0.14078297067344728
periodic,grad/norm,-1,attn_k,-1,6.0,-1.0,-1,-,L0:all,25.0,1.0,0.16817494852664033,0.7112197404588324,0.0009178132976213824,0.005326309904061008,0.0037069721820501287,0.24759109390289213,0.2904412243323049,0.16514730764383007
periodic,grad/norm,-1,attn_k,-1,7.0,-1.0,-1,-,L0:all,25.0,1.0,0.14934818639490424,0.47032231167081945,0.0018651690226018887,0.01086162517828995,0.014349481916988753,0.12998162814461356,0.24912587761398175,0.14064120295553542
periodic,grad/norm,-1,attn_k,-1,8.0,-1.0,-1,-,L0:all,25.0,1.0,0.14106709122514752,0.3973744795740504,0.0006187717503129272,0.004391492017843424,0.004147970655680163,0.1491745727433224,0.14785784894396364,0.1403585193774668
periodic,grad/norm,-1,attn_k,-1,9.0,-1.0,-1,-,L0:all,25.0,1.0,0.15986968008888375,0.5031239764747989,0.00112713083507584,0.00646736218776311,0.01028748719401816,0.10956327952769943,0.293602580590349,0.1462703177988535
periodic,grad/norm,-1,attn_k,-1,10.0,-1.0,-1,-,L0:all,25.0,1.0,0.35559248916914526,0.8138755815438199,0.0016222678759512598,0.004856506655060366,0.004672057745511092,0.347227702292407,0.20535501544556714,0.3660591876674589
periodic,grad/norm,-1,attn_k,-1,11.0,-1.0,-1,-,L0:all,25.0,1.0,0.1959335065329041,0.3770421516058487,0.0023917732251706758,0.010396433746917646,0.010780043104684035,0.22187046952821798,0.1972696692225668,0.19459734384324134
periodic,grad/norm,-1,attn_out,-1,0.0,-1.0,-1,-,L0:all,25.0,1.0,0.10097989333595325,0.33139794999458755,0.0008208672779706231,0.008354955141471537,0.01180347986822454,0.06954451459526204,0.23503093951973666,0.09853306458234147
periodic,grad/norm,-1,attn_out,-1,1.0,-1.0,-1,-,L0:all,25.0,1.0,0.060201515215670506,0.2971475154750393,0.0005115554960626811,0.007859394771653441,0.01166838017585682,0.04384117489770744,0.13965455007427008,0.054529460609201455
periodic,grad/norm,-1,attn_out,-1,2.0,-1.0,-1,-,L0:all,25.0,1.0,0.07097878519723991,0.3540505797593005,0.0009289314137101959,0.012885219012073006,0.009187571849871443,0.10110739038445658,0.1194913448796306,0.06868687300614533
