run,depth,seed,source,step,normalized_progress,phase,cosine,sample_count
d12-s8,12,8,logical_sketch_prev,1919,0.7615079365079365,late,-0.15919854921593155,
d12-s8,12,8,logical_sketch_prev,2020,0.8015873015873016,late,-0.10548282135919439,
d12-s8,12,8,logical_sketch_prev,2121,0.8416666666666667,late,0.07096047755930758,
d12-s8,12,8,logical_sketch_prev,2222,0.8817460317460317,late,-0.07134592412570016,
d12-s8,12,8,logical_sketch_prev,2323,0.9218253968253968,late,-0.02541282524872748,
d12-s8,12,8,logical_sketch_prev,2424,0.9619047619047619,late,-0.05518240285714085,
d12-s8,12,8,fixed_probe_sketch_prev,1,0.0003968253968253968,early,0.9788203385174733,
d12-s8,12,8,fixed_probe_sketch_prev,2,0.0007936507936507937,early,0.9788352447413332,
d12-s8,12,8,fixed_probe_sketch_prev,4,0.0015873015873015873,early,0.9579921663838933,
d12-s8,12,8,fixed_probe_sketch_prev,8,0.0031746031746031746,early,0.30251012943467837,
d12-s8,12,8,fixed_probe_sketch_prev,16,0.006349206349206349,early,0.2512930725610765,
d12-s8,12,8,fixed_probe_sketch_prev,32,0.012698412698412698,early,0.7653253775953393,
d12-s8,12,8,fixed_probe_sketch_prev,40,0.015873015873015872,early,0.9232428027235114,
d12-s8,12,8,fixed_probe_sketch_prev,64,0.025396825396825397,early,0.7311357761256231,
d12-s8,12,8,fixed_probe_sketch_prev,126,0.05,early,0.3189318956478081,
d12-s8,12,8,fixed_probe_sketch_prev,252,0.1,early,0.2989417928911337,
d12-s8,12,8,fixed_probe_sketch_prev,378,0.15,early,0.43959973879478764,
d12-s8,12,8,fixed_probe_sketch_prev,400,0.15873015873015872,early,0.7210701599081589,
d12-s8,12,8,fixed_probe_sketch_prev,504,0.2,early,0.5395302327636747,
d12-s8,12,8,fixed_probe_sketch_prev,630,0.25,middle,0.5797259967724201,
d12-s8,12,8,fixed_probe_sketch_prev,756,0.3,middle,0.5518931701471408,
d12-s8,12,8,fixed_probe_sketch_prev,882,0.35,middle,0.6459271800332754,
d12-s8,12,8,fixed_probe_sketch_prev,1008,0.4,middle,0.7068496423911672,
d12-s8,12,8,fixed_probe_sketch_prev,1134,0.45,middle,0.7307986665709436,
d12-s8,12,8,fixed_probe_sketch_prev,1260,0.5,middle,0.7617835204849512,
d12-s8,12,8,fixed_probe_sketch_prev,1385,0.5496031746031746,middle,0.8042348098340975,
d12-s8,12,8,fixed_probe_sketch_prev,1511,0.5996031746031746,middle,0.8211627056545417,
d12-s8,12,8,fixed_probe_sketch_prev,1637,0.6496031746031746,middle,0.8434335255651036,
d12-s8,12,8,fixed_probe_sketch_prev,1763,0.6996031746031746,middle,0.8664764004922898,
d12-s8,12,8,fixed_probe_sketch_prev,1889,0.7496031746031746,middle,0.897183016099161,
d12-s8,12,8,fixed_probe_sketch_prev,2015,0.7996031746031746,late,0.9150674632845355,
d12-s8,12,8,fixed_probe_sketch_prev,2141,0.8496031746031746,late,0.9279558673856364,
d12-s8,12,8,fixed_probe_sketch_prev,2267,0.8996031746031746,late,0.9496596260621806,
d12-s8,12,8,fixed_probe_sketch_prev,2393,0.9496031746031746,late,0.9711720353508921,
d12-s8,12,8,fixed_probe_sketch_prev,2519,0.9996031746031746,late,0.9873852716215163,
d12-s8,12,8,logical_exact_prev_deep,1,0.0003968253968253968,early,0.971623554996714,1.0
